BR_CODE,P_CODE,P_NAME,BAL_QTY,MRP,NET_SALE_RATE,GEN_DATE
RKDA,1455,RK SABUDANA PLAIN STI 100 GM,4,30,30,24-Sep-23
RKDA,40805,RK SPRING PASTA 250 GM,5,32,32,24-Sep-23
RKDA,40718,RK SPRING PASTA 500 GM,2,50,50,24-Sep-23
RKDA,46654,RK TECHA PAPAD 200GM,2,60,40,24-Sep-23
RKDA,749,RK WHITE WATANA ROYAL 500 GM,25,42,42,24-Sep-23
RKDA,1576,RK YELLOW GOTA CHANA 200 GM,9,35,35,24-Sep-23
RKDA,334,RKS NAKS GENTL MUSK H/W 500ML,10,129,99,24-Sep-23
RKDA,319,RKS NAKS GL APPLE H/W 500ML,12,129,99,24-Sep-23
RKDA,329,RKS NAKS LIME MILKY F/C 1 LTR,40,92,46,24-Sep-23
RKDA,331,RKS NAKS PINE MILKY F/C 1 LT,52,92,46,24-Sep-23
RKDA,19842,RKS NAKS WHITE MILKY F/C 1 LT,38,92,91.08,24-Sep-23
RKDA,344,RKS NAKSH MULT SURF F/C 500ML,11,110,59,24-Sep-23
RKDA,352,RKS NAKSHATRA BATH RM CL 500M,36,105,59,24-Sep-23
RKDA,315,RKS NAKSHATRA CITRUS F/C 500M,117,110,59,24-Sep-23
RKDA,335,RKS NAKSHATRA ROSE F/C 500ML,86,110,59,24-Sep-23
RKDA,348,RKS NAKSHATRA TOILET CL 500ML,151,99,55,24-Sep-23
RKDA,59141,RKS PLUS++ MUSTARD OIL 1L(BT),22,230,140,24-Sep-23
RKDA,33397,ROYAL ADRAK SWAD 100 GM,4,30,29.4,24-Sep-23
RKDA,42109,ROYAL ALSI MUKHWAS 100 GM,5,40,39.2,24-Sep-23
RKDA,36674,ROYAL AWLA SUPARI 100 GM,6,60,58.8,24-Sep-23
RKDA,22801,ROYAL BARODA MUKHWAS 80GM,19,65,64.35,24-Sep-23
RKDA,30853,ROYAL BON-BON MUKHWAS 100 GM,11,45,44.1,24-Sep-23
RKDA,38745,ROYAL CALCUTA PAN MUKHWAS 100,15,60,58.8,24-Sep-23
RKDA,33547,ROYAL CLASSIC VARIYA MUK 100G,16,40,39.6,24-Sep-23
RKDA,24279,ROYAL DILKHUSH MUKHWAS 100GM,9,45,44.1,24-Sep-23
RKDA,33384,ROYAL DRAKSHWATI CHURN 100 GM,9,35,34.3,24-Sep-23
RKDA,41171,ROYAL ELAICHI MUKHWAS 100 GM,11,45,44.1,24-Sep-23
RKDA,40746,ROYAL FRESH PAN MUKHWAS 100G,14,60,58.8,24-Sep-23
RKDA,33376,ROYAL GOLD SWEET GOLI 100 G,39,25,24.5,24-Sep-23
RKDA,55757,ROYAL GUJARAT MUKHWAS 100G,3,45,44.1,24-Sep-23
RKDA,33622,ROYAL GULAB MUKHWAS 100GM,10,55,54.45,24-Sep-23
RKDA,35071,ROYAL IMLI  CHOCLATE 100 GM,11,45,44.1,24-Sep-23
RKDA,54419,ROYAL JAMNAGARI MUKHWAS 100,12,65,64.35,24-Sep-23
RKDA,33388,ROYAL JEERA GOLI MUKH 100 GM,4,40,39.2,24-Sep-23
RKDA,43830,ROYAL KESAR PUNA MUKHWAS 100G,6,45,44.1,24-Sep-23
RKDA,59001,ROYAL KUTCHI MUKHWAS 100 GM,10,55,54.45,24-Sep-23
RKDA,33371,ROYAL LIJJAT MUKHWAS 100 GM,4,45,44.1,24-Sep-23
RKDA,30757,ROYAL LONAVLA IMLI GOLI 100GM,9,40,39.2,24-Sep-23
RKDA,33380,ROYAL LUXURY MUKHWAS 100 GM,12,45,44.55,24-Sep-23
RKDA,38850,ROYAL M-FRESH MUKHWAS TIN 300,10,250,247.5,24-Sep-23
RKDA,15782,ROYAL MAHARAJA MUKHWAS 100 GM,10,55,54.45,24-Sep-23
RKDA,33382,ROYAL MINT VARIYA MUKH 100 GM,9,40,39.2,24-Sep-23
RKDA,61536,ROYAL MIX SEED MUKHWAS 100GM,13,75,74.25,24-Sep-23
RKDA,43829,ROYAL PASS PASS MUKHWAS 100GM,10,55,54.45,24-Sep-23
