Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
soft-napkin-tissues-2,SOFT NAPKIN TISSUES || S2,Title,Default Title,,,,,41534,,,2 RKBB 421503 Badlapur Belavali,0,0,0,12,12
brooke-bond-red-label-tea-100-g-2,RED LABEL TASTY HEALTHY 100G || S2,Title,Default Title,,,,,41576,,,2 RKBB 421503 Badlapur Belavali,0,0,0,3,3
brooke-bond-red-label-tea-100-g-3,RED LABEL TASTY HEALTHY 100G || S3,Title,Default Title,,,,,41576,,,3- 400612 RKDA - Diva,0,0,0,1,1
r-k-kharik-powder-250-gm-3,R K KHARIK POWDER 250 G || S1,Title,Default Title,,,,,41673,,,1 Dombivli East (RKM),0,0,0,11,11
r-k-b-kharik-tukda-500g-2,R.K.B KHARIK TUKDA 500G || S2,Title,Default Title,,,,,41674,,,2 RKBB 421503 Badlapur Belavali,0,0,0,16,16
r-k-b-kharik-tukda-500g-3,R.K.B KHARIK TUKDA 500G || S3,Title,Default Title,,,,,41674,,,3- 400612 RKDA - Diva,0,0,0,8,8
medimix-ayurvedic-classic-18-herbs-soap-125-g-4-1-offer-pack-3,"MEDIMIX AYURVEDIC CLASSIC 18 HERBS SOAP, 125 G (4 + 1 OFFER PACK) || S3",Title,Default Title,,,,,41707,,,3- 400612 RKDA - Diva,0,0,0,12,12
kelloggs-corn-flakes-original-250-g-3,KELLOGG'S CORN FLAKES ORIGINAL 250 G || S3,Title,Default Title,,,,,41711,,,3- 400612 RKDA - Diva,0,0,0,3,3
kelloggs-muesli-nuts-delight-500-g-pack-3,KELLOGG'S MUESLI NUTS DELIGHT 500 G PACK || S3,Title,Default Title,,,,,41712,,,3- 400612 RKDA - Diva,0,0,0,6,6
pears-pure-gentle-soap-bar-75-g-3,PEARS PURE & GENTLE SOAP BAR 75 G || S3,Title,Default Title,,,,,41871,,,3- 400612 RKDA - Diva,0,0,0,4,4
fortune-oil-1-l-pouch-rice-bran-health-3,FORTUNE RICE BRAN HEALTH OIL 1 L POUCH || S2,Title,Default Title,,,,,41909,,,2 RKBB 421503 Badlapur Belavali,0,0,0,10,10
gowardha-paneer-200-gm-3,GOWARDHAN PANEER 200 G || S1,Title,Default Title,,,,,41914,,,1 Dombivli East (RKM),0,0,0,47,47
hit-anti-roach-gel-cockroach-killer-20-g-2,HIT ANTI ROACH GEL - COCKROACH KILLER (20 G) || S2,Title,Default Title,,,,,41955,,,2 RKBB 421503 Badlapur Belavali,0,0,0,3,3
busicut-1,PARLE MONACO SALTED BISCUITS CLASSIC 200 G || S3,Title,Default Title,,,,,42002,,,3- 400612 RKDA - Diva,0,0,0,36,36
busicut-3,PARLE MONACO SALTED BISCUITS CLASSIC 200 G || S1,Title,Default Title,,,,,42002,,,1 Dombivli East (RKM),0,0,0,9,9
chings-hunger-hot-sour-soup-20-g-2,CHING'S HUNGER HOT & SOUR SOUP 12 G || S2,Title,Default Title,,,,,42018,,,2 RKBB 421503 Badlapur Belavali,0,0,0,2,2
chings-hunger-hot-sour-soup-20-g-1,CHING'S HUNGER HOT & SOUR SOUP 12 G || S1,Title,Default Title,,,,,42018,,,1 Dombivli East (RKM),0,0,0,36,36
talod-nylon-khaman-500-g-1,TALOD NYLON KHAMAN 500 G || S1,Title,Default Title,,,,,42062,,,1 Dombivli East (RKM),0,0,0,3,3
wheel-detergent-bar-active-190-g-pouch-2,"WHEEL DETERGENT BAR - ACTIVE, 190 G POUCH || S2",Title,Default Title,,,,,42116,,,2 RKBB 421503 Badlapur Belavali,0,0,0,240,240
wheel-detergent-bar-active-190-g-pouch-3,"WHEEL DETERGENT BAR - ACTIVE, 190 G POUCH || S3",Title,Default Title,,,,,42116,,,3- 400612 RKDA - Diva,0,0,0,115,115
godrej-expert-rich-creme-hair-colour-single-use-20-g-20-ml-shade-3-black-brown-2,GODREJ EXPERT RICH CREME HAIR COLOUR SINGLE USE 20 G 20 ML SHADE 3 BLACK BROWN || S2,Title,Default Title,,,,,42142,,,2 RKBB 421503 Badlapur Belavali,0,0,0,5,5
godrej-expert-rich-creme-hair-colour-single-use-20-g-20-ml-shade-3-black-brown-1,GODREJ EXPERT RICH CREME HAIR COLOUR SINGLE USE 20 G 20 ML SHADE 3 BLACK BROWN || S1,Title,Default Title,,,,,42142,,,1 Dombivli East (RKM),0,0,0,4,4
india-gate-mini-mogra-broken-rice-bag-10-kg-2,"INDIA GATE MINI MOGRA BROKEN RICE,  1 KG || S2",Title,Default Title,,,,,42178,,,2 RKBB 421503 Badlapur Belavali,0,0,0,62,62
