P_CODE,P_NAME,Category,BRAND,Sub-Category,Inv,Listing Status
49903,CLASSY-SP PREM GARAM MA 100G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49905,CLASSY-SP SPL.MIX MASALA100GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49906,CLASSY-SP PREM GARAM MA 200GM,SPICES/MASALA,SPICES & MASALAS BRANDED,CLASSY SPICY,,
49907,CLASSY-SPL GARAM MAS 200GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
49999,FORTUNE XPERT PRO SUGAROIL5LT,OIL/GHEE/VANASPATI,FORTUNE,DIABETES OIL,,
50000,FORTUNE XPERT PROSUGAR 1LIT,OIL/GHEE/VANASPATI,FORTUNE,DIABETES OIL,,
50010,GANESH TEA 1KG RFL ,TEA/COFFEE,GANESH TEA,TEA,,
50044,DUKES BOURBON 150 GM,BISCUITS/BAKERY,DUKES,BISCUITS,,
50056,CLASSY SP KAS CHILI POW200 ,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
50088,CLASSY SPICY JEERA POW 50GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
50094,CLASSY SPICY JEERA POWD 100G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
50188,CLINIC PLUS STRO&THICK 175ML+,HAIR CARE,CLINIC PLUS,SHAMPOO,,
50454,PATANJALI D-K AD DEN CR100G*,DENTAL CARE,PATANJALI,TOOTH PASTE,,
50474,HARPIC BATH R CLR LEMON 200M,CLEANING MATERIAL,HARPIC,TOILET CLEANER,,
50475,HARPIC BATH R CLR FLORA 200ML,CLEANING MATERIAL,HARPIC,TOILET CLEANER,,
50566,SANTOOR WHITE SOAP 100GM*4,BATH SOAPS,SANTOOR,BATH SOAP,,
50600,GALA SPIN MOP SMARTY ,CLEANING MATERIAL,GALA,MOP,,
50648,GOD EXP CRM COL DARK BROW20G,HAIR CARE,GODREJ (CONSUMERS PRODUCT ),HAIR COLOUR,,
50689,INDIA GATE BROWN RICE 1KG,GROCERY,INDIA GATE,BASMATI BRANDED,,
50704,YAKULT DRINK 325ML PKT*,COLD/FRUIT DRINKS,YAKULT,ENERGY DRINK,,
51033,BRITANNIA N/C OATS ORAN100G,BISCUITS/BAKERY,BRITANNIA,BISCUITS,,
51052,PATANJALI AL-VERA CLESER 200,HAIR CARE,PATANJALI,HAIR OIL,,
51081,SURF EX MAT TOP L LIQ 500ML+,WASHING/DETERGENTS,SURF EXCEL,WASHING POWDER/DETERGENT,,
51384,PAPER GLASS 200ML*,MISC/OTHERS,DISPOSAL PRODUCTS,PLATE,,
51403,GO PROCESED CHEES BLOCK 200G,DAIRY/FROZEN,GOWARDHAN,CHEESE,,
51672,PATANJALI HERBAL MEHANDI100GM,HAIR CARE,PATANJALI,HAIR COLOUR,,
51685,DALIA  400 GM,GROCERY,R.K.BAZAR(TAX),BREAKFAST,,
51718,PITAMBARI RUCH JAGGERY POW500,FASTING/UPWAS,PITAMBARI,UPWAS PRODUCTS,,
51723,SUGAR MADHUR 1KG,SUGAR/SALT,MADHUR SUGAR,SUGAR,,
51724,SUGAR MADHUR 5KG,SUGAR/SALT,MADHUR SUGAR,SUGAR,,
51761,SABUDANA SUPER LOOSE (BULK),FASTING/UPWAS,R.K.BAZAR,SABUDANA,,
51900,EVE SPL KANDA LASUN MAS 200G,SPICES/MASALA,EVEREST,SPICES & MASALAS BRANDED,,
51927,JOY FACEWASH PURE NEEM 100ML,COSMETICS,JOY,FACE WASH,,
51962,CLASSY-S KASH CHILI POW 500G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
52003,PITAMBARI DEEPSHAKTI OIL900ML,OIL/GHEE/VANASPATI,PITAMBARI,LAMP OIL,,
52061,SENSODYNE SENS SOFT BRUSH 2+1,DENTAL CARE,G S K,TOOTH BRUSH,,
52065,FORTUNE ROZANA BASMATI 1KG,GROCERY,FORTUNE,BASMATI BRANDED,,
52220,SURATI KURMURA 500 GM,GROCERY,R.K.BAZAR(TAX),BREAKFAST,,
52258,PATANJALI SUPER D/W BAR 225G,WASHING/DETERGENTS,PATANJALI,WASHING SOAP,,
52280,SOYABEEN WADI  200 GM,SPICES/MASALA,R.K.BAZAR(TAX),MASALE,,
52300,FRESHREE DINNER NAPKINS 50PUL,MISC/OTHERS,FRESHREE,TISSUES,,
52313,MOONG DAL SUPER 500GM,GROCERY,R.K.BAZAR(TAX),PULSES,,
52420,RK CORN FLOUR 200 GM,FAST FOOD (RADY TO EAT),R.K.BAZAR(TAX),READY TO EAT,,
52426,R.K.B DRY FRYMES MIX 500 G ,PAPAD/PICKLES/FRYMES,R.K.BAZAR(TAX),FRYMES,,
52461,S.R.R. 65/ KEBAB MASAL 100GM,SPICES/MASALA,S.R.R MASALE,SPICES & MASALAS BRANDED,,
52572,PATANJALI DANT KANTI VL300G ,DENTAL CARE,PATANJALI,TOOTH PASTE,,
53319,KHAPLI GHAU 1 KG,GROCERY,R.K.BAZAR,WHEAT,,
53354,GODREJ PROT MAS BLA H/W 725ML,BATH SOAPS,GODREJ (CONSUMERS PRODUCT ),HAND WASH,,
53396,DATE CROWN KHENAIZI 500GM,DRY FRUITS,DATE CROWN,DATES(KHAJUR),,
53455,PARLE WAFERS PIRI PIRI 80GM,FARSAN/CHIKKI,PARLE,WAFERS  & FARSAN,,
53482,CLASSY SPICY AGRI MASALA 500,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
53483,CLASSY SPICY MALVANI MAS500G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
53484,CLASSY SPICY MIX MASALA 500G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
53503,MAGGI MASALA-AE12UNITS*6-72G,FAST FOOD (RADY TO EAT),MAGGI,NOODLES,,
53520,INDULEKHA BRINGH HAIR SH100 ,HAIR CARE,INDULEKHA (OIL),HAIR OIL,,
53760,GOWARDHAN GOLD MILK COW 1LT*,DAIRY/FROZEN,GOWARDHAN,MILK,,
53766,GOWARDHAN  BUTTERMILK 500 ML,DAIRY/FROZEN,GOWARDHAN,MILK,,
53767,GOWARDHAN DAHI 500GM ,DAIRY/FROZEN,GOWARDHAN,MILK,,
53834,ODONIL ZIPPER JASMINE 10GM,CLEANING MATERIAL,DABUR,AIR/CAR/ROOM FRESHNER,,
53835,ODONIL ZIPPER LAVENDDER 10GM,CLEANING MATERIAL,DABUR,AIR/CAR/ROOM FRESHNER,,
53837,R.K.BAZAR MACRONI 500G PLS ,FAST FOOD (RADY TO EAT),R.K.BAZAR(TAX),MACRONI,,
53863,PARLE H&S CHOCCHIP COOK 400GM,BISCUITS/BAKERY,PARLE,BISCUITS,,
53919,GALA EZEE SQUEEZEE HOME CLEAN,CLEANING MATERIAL,GALA,SCRUBBER,,
53968,FUN FOODS PIZZA TOPPING 100G,JAM/KETCH-UP/SARBAT,FUN FOODS,MAYONNAISE,,
53973,YAKULT LIGH RED SUG&CAL 325M,COLD/FRUIT DRINKS,YAKULT,ENERGY DRINK,,
54012,KOKAN GEM KAIRI SYRUP 500 ML,JAM/KETCH-UP/SARBAT,KOKAN GEM,SYRUP/CRUSH,,
54093,PATANJALI  D/W BAR 4*225GM,WASHING/DETERGENTS,PATANJALI,WASHING SOAP,,
54204,MIRINDA 750 ML (BTL),COLD/FRUIT DRINKS,MIRINDA,COLD DRINKS,,
54213,PRAKASH LASUN CHUTNEY 100GM,SPICES/MASALA,PRAKASH KOLHAPURI MASALE,SPICES & MASALAS BRANDED,,
54217,PRAKASH KOL ANDDA RASS M 25GM,SPICES/MASALA,PRAKASH KOLHAPURI MASALE,SPICES & MASALAS BRANDED,,
54219,PRAKASH KOL CHICK BIRY M 25GM,SPICES/MASALA,PRAKASH KOLHAPURI MASALE,SPICES & MASALAS BRANDED,,
54220,PRAKASH KOL CHIC RASSA M 25GM,SPICES/MASALA,PRAKASH KOLHAPURI MASALE,SPICES & MASALAS BRANDED,,
54221,PRAKASH KOL CHIC SUKKH M 25GM,SPICES/MASALA,PRAKASH KOLHAPURI MASALE,SPICES & MASALAS BRANDED,,
54224,PRAKASH KOL MUTTON BIR M 30GM,SPICES/MASALA,SPICES & MASALAS BRANDED,PRAKASH KOLHAPURI MASALE,,
54226,PRAKASH KOL MUTTON SUK M 25GM,SPICES/MASALA,PRAKASH KOLHAPURI MASALE,SPICES & MASALAS BRANDED,,
54231,PRAKASH KOL THECHA KOL100GM,SPICES/MASALA,PRAKASH KOLHAPURI MASALE,SPICES & MASALAS BRANDED,,
54253,PURO SALT 1KG,SUGAR/SALT,PURO SALT,SALTS,,
54288,DABUR RED PASTE 500 GM,DENTAL CARE,DABUR,TOOTH PASTE,,
54365,PARLE 20-20 NICE SUGER BIS150,BISCUITS/BAKERY,PARLE,BISCUITS,,
54608,FRESHREE SOFT NAPKINS 50P ,MISC/OTHERS,FRESHREE,TISSUES,,
54609,FRESHRE TOILET ROLL 250SHET*,MISC/OTHERS,FRESHREE,TISSUES,,
54613,FRESHREE SKIN O FREINDLY 100P,MISC/OTHERS,FRESHREE,TISSUES,,
54638,MESWAK T PASTE 200+200GM,DENTAL CARE,DABUR,TOOTH PASTE,,
54762,GOWERDHAN GO CHESE CUBE 200G,DAIRY/FROZEN,GOWARDHAN,CHEESE,,
54804,FAI&LOV MULTI-VITAMIN CR110G*,COSMETICS,FAIR & LOVELY,SKIN CREAM,,
54964,CHHEDA 500GM POTATO CHIPS*,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
54965,CHHEDA 170 GM YELLOW BANANA,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
54966,CHHEDA 170 GM LONG BANANA,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
54971,CHHEDA 170GM FARALI CHIVDA,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
54973,CHHEDAS PLAIN BUT CHAKLI 100G,FARSAN/CHIKKI,CHHEDAS,CHIKKI,,
54979,CHHEDAS NYLON SEC,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
54984,CHHEDA 170 GM SALT-N-BANANA,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
54985,CHHEDA 170 GM SOYA SNAX,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
55020,ORANGE YELLOW DUSTER 20*27,CLOTHS,R.K.BAZAR,DUSTER,,
55191,DOOR MAT RS.69*,CLOTHS,BRAND NO,DOORMAT,,
55192,DOOR MAT FREE WITH BC,CLOTHS,BRAND NO,DOORMAT,,
55207,CHHEDA 170 GM KACHORI,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
55209,CHHEDAS SALT FRENCH FRIE 50GM,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
55210,CHHEDAS ORAN SOAN PAPDI 200GM,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
55211,CHHEDA ELAICHI SOAN PAPDI200G,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
55227,SURF EX M TOP LOAD LQ 2 L (P),WASHING/DETERGENTS,SURF EXCEL,WASHING POWDER/DETERGENT,,
55228,SURF EX M FRO LOAD LQ 2 L(P)+,WASHING/DETERGENTS,SURF EXCEL,WASHING POWDER/DETERGENT,,
55256,PARLE G GOLD BIS 1KG ,BISCUITS/BAKERY,PARLE,BISCUITS,,
55287,CHEDAS 170G GOLD POTATO CHIP*,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
55290,LIFEBUOY LEMON  SOAP 4*125GM,BATH SOAPS,LIFEBUOY,BATH SOAP,,
55517,ARIEL MATIC FL 1 KG REFFILE,WASHING/DETERGENTS,ARIEL,WASHING POWDER/DETERGENT,,
55550,KELLO CHOCOS FILLS 170GM,BABY/HEALTH-FOOD/DRINKS,KELLOGG,CORNFLAKES,,
55605,DUKES SODA 750 ML BTL,COLD/FRUIT DRINKS,DUKES SODA,MINERAL  WATAR,,
55618,SURF EXCEL MAT TOP LOD 4+2K,WASHING/DETERGENTS,SURF EXCEL,WASHING POWDER/DETERGENT,,
55619,TIDE EXTRA POW LEM&MIN  500G,WASHING/DETERGENTS,TIDE,WASHING POWDER/DETERGENT,,
55637,DETTOL ALOVERA SOAP 100 GM,BATH SOAPS,DETTOL,BATH SOAP,,
55655,SCOTCH BRI POW SCRUB 10X8 CM,CLEANING MATERIAL,SCOTCH BRITE,SCRUBBER,,
55735,PAPER TEA GLASS 65 ML,MISC/OTHERS,DISPOSAL PRODUCTS,PLATE,,
55818,LEVISTA INT CLAS COFFEE 50G P,TEA/COFFEE,LEVISTA,COFFEE,,
55875,SILVER PLATE THALI KHACH ,MISC/OTHERS,DISPOSAL PRODUCTS,PLATE,,
55876,CLASSY SPICY AKKHA MAS RS 25,SPICES/MASALA,CLASSY SPICY,MASALA,,
55892,ODONIL ZIPPER ROSE 10 GM,CLEANING MATERIAL,DABUR,AIR/CAR/ROOM FRESHNER,,
55904,PARLE KRACK JAC BUT MAS 120G,BISCUITS/BAKERY,PARLE,BISCUITS,,
55988,COMFORT AFTER FAB PINK 2L(P)+,WASHING/DETERGENTS,COMFORT,LIQUID WASHING DETERGENT,,
56007,BRITA PM CHOCOLUSH BIS 75GM,BISCUITS/BAKERY,BRITANNIA,BISCUITS,,
56009,BRITA BISCAFE BIS 100 GM,BISCUITS/BAKERY,BRITANNIA,BISCUITS,,
56029,LIFE NEEM & ALO SOAP 100*4 GM,BATH SOAPS,LIFEBUOY,BATH SOAP,,
56030,LIFE TUR&HON SOAP 100*4G(3+1),BATH SOAPS,LIFEBUOY,BATH SOAP,,
56033,DUSTER FLOOR 24X24 PACK OF 2,CLOTHS,BRAND NO,DUSTER,,
56043,MORTEIN 2IN1 AROSOL 250 ML,INSECTICIDES/REPELLANT,MORTEIN,MOSQUITO LIQUID,,
56044,MORTEIN 2IN1 AROSOL 425ML,INSECTICIDES/REPELLANT,MORTEIN,MOSQUITO LIQUID,,
56358,GILLETTE SIMPLY VENUS RAZR3*,SHAVING PRODUCTS,GILLETTE,SHAVING RAZOR,,
56474,PAT HER WASH NI & LEM POW 1K,WASHING/DETERGENTS,PATANJALI,WASHING POWDER/DETERGENT,,
56530,RAM BANDHU MOONG PAPAD 200 GM,PAPAD/PICKLES/FRYMES,RAM BANDHU,PAPAD,,
56544,CAD CRISPELLO 30 GM,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
56640,SUNFEAST MOM CAS & ALM 584 GM,BISCUITS/BAKERY,SUNFEAST,BISCUITS,,
56648,PATANJALI DANT KNTI T/P 600G*,DENTAL CARE,PATANJALI,TOOTH PASTE,,
56874,GIFFY SALT LEMON D/W 500M 1+1,CLEANING MATERIAL,GIFFY,CLEANING POWDER,,
56879,DOOR MAT NO RS 149/-*,CLOTHS,BRAND NO,DOORMAT,,
56939,PARLE KHATTA MEETHA MIX 400G*,FARSAN/CHIKKI,PARLE,WAFERS  & FARSAN,,
57321,APPU AJWAIN APALAM PAPAD 150G,PAPAD/PICKLES/FRYMES,APPU APPALAM,PAPAD,,
57322,APPU APALAM  PAPAD 150G,PAPAD/PICKLES/FRYMES,APPU APPALAM,PAPAD,,
57342,SUNSILK COCO & ALO SHAM 195 M,HAIR CARE,SUNSILK,SHAMPOO,,
57412,VEEANA POOJA COTT KAPUS  5 GM,POOJA ITEMS,VEEANA,AGARBATTI,,
57413,VEEANA COTTON SAMAY VATT 50PC,POOJA ITEMS,AGARBATTI,VEEANA,,
57415,VEEANA COTTON SAMAY VAT 100P*,POOJA ITEMS,VEEANA,AGARBATTI,,
57426,SUHA MUTT BIRYANI GREVY M 50G,SPICES/MASALA,SUHANA,SPICES & MASALAS BRANDED,,
57461,CLASSY-SP SAMBAR MAS CBD 50G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
57467,TIDE ULTRA 3IN1 SEMI 1 KG,WASHING/DETERGENTS,TIDE,WASHING POWDER/DETERGENT,,
57490,CLASSY SPI KASURI METHI 100GM,SPICES/MASALA,SPICES & MASALAS BRANDED,CLASSY SPICY,,
57546,FORTUNE FRESH CHAKKI ATTA 10K,GROCERY,FORTUNE,ATTA BRANDED,,
57602,VEEANA SANDAL ROL AGARBA 225G,POOJA ITEMS,VEEANA,AGARBATTI,,
57603,VEEANA LAVEN ROL AGARBAT 225G,POOJA ITEMS,VEEANA,AGARBATTI,,
57604,VEEANA CHAMPA ROL AGARBT 225G,POOJA ITEMS,VEEANA,AGARBATTI,,
57605,VEEANA MOGRA ROL AGARBAT 225G,POOJA ITEMS,VEEANA,AGARBATTI,,
57621,PATANJALI HALDI CHAN 75*4 COM,BATH SOAPS,PATANJALI,BATH SOAP,,
57641,CYCLE OM SHANTI CAMPHOR 25G M,POOJA ITEMS,CYCLE,CAMPHOR,,
57678,REAL MASALA MIX FRUIT 1 LT*,COLD/FRUIT DRINKS,REAL,FRUIT JUICE,,
57703,VEEANA ROSE ROL AGARBATT 225G,POOJA ITEMS,VEEANA,AGARBATTI,,
57805,MEDIMIX SANDAL 125*3  300GM,BATH SOAPS,MEDIMIX,BATH SOAP,,
57836,WHISPER CHO ALO XL WINGS 6 PA,SANITARY NAPKINS/DIAPERS,WHISPER,SANITARY NAPKINS,,
57849,SOFTOUCH AF WASH GAR BOU 200M,WASHING/DETERGENTS,SOFTOUCH,LIQUID WASHING DETERGENT,,
58014,RAMBANDHU MANGO PICK (P) 200G,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
58015,RAMBANDHU SW LIME PIC(P) 200G,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
58019,CHHEDA 500GM DIET CHIVDA,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
58187,BRI WINKING COW CHOCLAT 200M,COLD/FRUIT DRINKS,BRITANNIA,FRUIT JUICE,,
58246,HILLER HAKKA VEG NOODLES 800G,FAST FOOD (RADY TO EAT),HILLERS,NOODLES,,
58276,MAGGI CHATPATA SAUCE 500 GM,JAM/KETCH-UP/SARBAT,MAGGI,SAUCE,,
58295,CHHEDAS MAS BUTT CHAKLI 100GM,FARSAN/CHIKKI,CHHEDAS,CHIKKI,,
58306,RAMBANDHU CHILLI PIC(P) 200G,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
58336,HARPIC BATH R CLR FLORA 1LT,CLEANING MATERIAL,HARPIC,TOILET CLEANER,,
58347,BEDEKAR PICKLE MIX MAS 100G,SPICES/MASALA,BEDEKAR,SPICES & MASALAS BRANDED,,
58352,ORAL B SEN CAR 5P EX SOFT BR*,DENTAL CARE,ORAL-B,TOOTH BRUSH,,
58357,DETT ORI DISINFECT SPRAY 170M,INSECTICIDES/REPELLANT,DETTOL,INSECTICIDES,,
58396,PARLE H&S CHOCO ROLL 250GM*,BISCUITS/BAKERY,PARLE,BISCUITS,,
58397,XPERT DISH BAR 150*4 =600GM,CLEANING MATERIAL,XPERT,DISH WASH BAR,,
58420,CLASSY PAV BHAJI MAS CBD 50G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
58421,CLASSY SPI KASURI METHI 20GM,SPICES/MASALA,SPICES & MASALAS BRANDED,CLASSY SPICY,,
58422,CLASSY SP CHICKEN MAS CBD 50G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
58423,CLASSY SP KITC KI MAS CBD 50G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
58455,CAD MILK SIL ORE RED VEL 130G,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
58473,CLASSY CBD SP CHAT MAS 50GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
58476,CLASSY SPICY BIRY MAS CBD 50G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
58527,PATANJALI MUSTARD OIL 1LT (P),OIL/GHEE/VANASPATI,PATANJALI,MUSTARD OIL,,
58529,GOOD KNIGHT GOLD FLASH+MACHIN,INSECTICIDES/REPELLANT,GOOD KNIGHT,MOSQUITO LIQUID,,
58539,GOOD KNIGHT GOLD FLAS 45M RFL,INSECTICIDES/REPELLANT,GOOD KNIGHT,MOSQUITO LIQUID,,
58540,GALA NO DUST 2 IN 1 BROOM,CLEANING MATERIAL,GALA,BROOM,,
58550,CYCLE VASU LOBAN DHOOP 40N,POOJA ITEMS,CYCLE,AGARBATTI,,
58663,FORTUNE FRESH CHAKKI ATTA 5 K,GROCERY,FORTUNE,ATTA BRANDED,,
58703,LIFE TOTAL 10 H /W 750M (1+1),BATH SOAPS,LIFEBUOY,HAND WASH,,
58717,GO CHEESE PROCESS ANGLES 160G,DAIRY/FROZEN,GOWARDHAN,CHEESE,,
58728,CAD HOT CHOCLATE 20 GM,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
58754,PARLE MONACO 800 GM,BISCUITS/BAKERY,PARLE,BISCUITS,,
58757,UNIBIC CHOCO WAFFER BIS 75G,BISCUITS/BAKERY,UNIBIC,BISCUITS,,
58758,UNIBIC STRWBER WAFFER BIS 75G,BISCUITS/BAKERY,UNIBIC,BISCUITS,,
58762,CAD CHOCOBAKE CAKE 25GM,BISCUITS/BAKERY,CADBURY,BISCUITS,,
58775,TIDE BLUE BAR 150 GM,WASHING/DETERGENTS,TIDE,WASHING SOAP,,
58791,VEEANA LOBAN ZIPPER 100GM,POOJA ITEMS,VEEANA,AGARBATTI,,
58792,VEEANA FRUIT BLAST ZIPPER100G,POOJA ITEMS,AGARBATTI,VEEANA,,
58795,VEEANA KESAR CHAN ZIPPER 100G,POOJA ITEMS,VEEANA,AGARBATTI,,
58796,VEEANA MI MARATHI AGAR 225GM,POOJA ITEMS,AGARBATTI,VEEANA,,
58839,HILLERS  BAKING POW 50 GM,FAST FOOD (RADY TO EAT),HILLERS,BAKING POWDER,,
58842,HILLERS BAKING SODA 50 GM,FAST FOOD (RADY TO EAT),HILLERS,BAKING POWDER,,
58844,VIM ANTI BAC BAR 120GM,CLEANING MATERIAL,VIM,DISH WASH BAR,,
58847,BAM ROS VER LONG SEVAI 150 G,FAST FOOD (RADY TO EAT),BAMBINO,READY TO EAT,,
58848,FOR MINI MOGRA BAS RICE 5 KG,GROCERY,FORTUNE,BASMATI BRANDED,,
58871,GUINEA DIV SHAKTI LAMP OIL900,OIL/GHEE/VANASPATI,GUINEA,LAMP OIL,,
58876,NABATI NEXTAR BROWNIES 34G,BISCUITS/BAKERY,NABATI,BISCUITS,,
58889,CLASSY CBD MISAL MASALA 50 GM,SPICES/MASALA,CLASSY SPICY,MASALA,,
58905,HELLMANN MAYONNISE 275 GM (J),JAM/KETCH-UP/SARBAT,HELLMANN,MAYONNAISE,,
58924,WIPRO MAX KL CTRU JO 975+500M,CLEANING MATERIAL,WIPRO,PHENYLE,,
58925,WIPRO MAX KL FRL BLS 975+500M,CLEANING MATERIAL,WIPRO,PHENYLE,,
58947,CHITALE COW GHEE 1 LTR CBD,OIL/GHEE/VANASPATI,CHITALE,GHEE,,
58983,KISMISH BLACK SEDLES 250 GM,DRY FRUITS,R.K.BAZAR(TAX),BLACK KISHMISH,,
59000,MAGGI MASALA NOODLES 90 G*,FAST FOOD (RADY TO EAT),MAGGI,NOODLES,,
59006,SUN-DARK FANT CHOC FILL 300G*,BISCUITS/BAKERY,SUNFEAST,BISCUITS,,
59048,PARLE ELAICHI PREM RUSK 1 KG,BISCUITS/BAKERY,PARLE,TOAST,,
59049,REAL MANGO DRINK 1.2 LTR,COLD/FRUIT DRINKS,REAL,FRUIT JUICE,,
59050,CHECK DUSTER 17 X 17,CLOTHS,BRAND NO,DUSTER,,
59053,YELLOW DUSTER 20*27 PACK OF 2,CLOTHS,BRAND NO,DUSTER,,
59107,VASTU COW GHEE 500 ML JAR,OIL/GHEE/VANASPATI,VASTU,GHEE,,
59109,R.K.B. KHARA SINGH 200 GM,FARSAN/CHIKKI,R.K.BAZAR(TAX),ROASTED NUTS,,
59111,JEERU EXOTIC 2LIT*,COLD/FRUIT DRINKS,JEERU,SOFT DRINKS,,
59137,MOTHERS TAMA DATE CHUTNEY 200,FAST FOOD (RADY TO EAT),MOTHERS PICKLE,READY TO EAT,,
59141,RKS PLUS++ MUSTARD OIL 1L(BT),OIL/GHEE/VANASPATI,RKS PLUS++,MUSTARD OIL,,
59149,FOR XPERT PRO IMMUNITY OIL 1L,OIL/GHEE/VANASPATI,FORTUNE,DIABETES OIL,,
59150,FOR XPERT PRO IMMUNITY OIL5LT,OIL/GHEE/VANASPATI,FORTUNE,DIABETES OIL,,
59160,B FIZZ 125 ML BTL,COLD/FRUIT DRINKS,APPY,SOFT DRINKS,,
59175,JEERU EXOTIC 300 ML*,COLD/FRUIT DRINKS,JEERU,SOFT DRINKS,,
59184,PARLE 20-20 BUTER COKIES 200G,BISCUITS/BAKERY,PARLE,BISCUITS,,
59186,NABATI WHITE WAFER 30GM,BISCUITS/BAKERY,NABATI,BISCUITS,,
59214,SUNNYS LASOON FARSAN 500 GM,FARSAN/CHIKKI,SUNNYS(FARSAN),WAFERS  & FARSAN,,
59223,SUNNYS MIX FARSAN 500 GM,FARSAN/CHIKKI,SUNNYS(FARSAN),WAFERS  & FARSAN,,
59224,GODREJ AIR POCK FRE BLOS 10GM,CLEANING MATERIAL,GODREJ (CONSUMERS PRODUCT ),AIR/CAR/ROOM FRESHNER,,
59296,CADBURY SILK MOUSSE BIG 116 G,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
59304,ARIEL MAT TL LEQ 2 LTR (P),WASHING/DETERGENTS,ARIEL,WASHING POWDER/DETERGENT,,
59312,GODREJ AIR POC LAVEN BOOM 10G,CLEANING MATERIAL,GODREJ (CONSUMERS PRODUCT ),AIR/CAR/ROOM FRESHNER,,
59313,GODREJ AIR POC SEA BREEZE 10G,CLEANING MATERIAL,GODREJ (CONSUMERS PRODUCT ),AIR/CAR/ROOM FRESHNER,,
59314,GODREJ AIR POC BERRY RUSH 10G,CLEANING MATERIAL,GODREJ (CONSUMERS PRODUCT ),AIR/CAR/ROOM FRESHNER,,
59317,CHHEDA 500 GM MIX FARSAN,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
59321,BRITA VITA MARIEGOLD BIS 900G,BISCUITS/BAKERY,BRITANNIA,BISCUITS,,
59325,DELIS ORANGE SOAN PAPDI 200GM,FARSAN/CHIKKI,DELIS,SWEETS,,
59326,DELIS SOAN PAPDI ELAICHI200GM,FARSAN/CHIKKI,DELIS,SWEETS,,
59348,CHHEDA 500GM GOLDENMIX FARSAN,FARSAN/CHIKKI,CHHEDAS,WAFERS  & FARSAN,,
59369,WHISPER ULTRA CL XL+ 50 PAD,SANITARY NAPKINS/DIAPERS,WHISPER,SANITARY NAPKINS,,
59397,GIFFY LEM D/W LEQ (P) 1L (1+1,CLEANING MATERIAL,GIFFY,CLEANING POWDER,,
59398,SHOPING BAG 1 (12*16),CLOTHS,CLOTH BAGS,POSITIVE TIMES PVT LTD,,
59399,SHOPING BAG 2* (15*18),CLOTHS,POSITIVE TIMES PVT LTD,CLOTH BAGS,,
59413,SUGAR FORTUNE 5 KG,SUGAR/SALT,FORTUNE,SUGAR,,
59431,CLASSY SPICY HING POW 50 GM,SPICES/MASALA,CLASSY SPICY,HING,,
59446,SUGAR FORTUNE 1 KG,SUGAR/SALT,FORTUNE,SUGAR,,
59451,KNOR PIZA&PASTA SAUCE 200(P),JAM/KETCH-UP/SARBAT,KNORR,SAUCE,,
