P_CODE,P_NAME,Category,BRAND,Sub-Category,Inv,Listing Status
43120,SUN TRI COLOR MASALA PAS 65G,FAST FOOD (RADY TO EAT),SUNFEAST,NOODLES,,
43132,EXO DISH SHINE BAR 3*130GM,CLEANING MATERIAL,EXO,DISH WASH BAR,,
43134,LIZOL 3IN1 CITRUS SURF 975 M,CLEANING MATERIAL,LIZOL,PHENYLE,,
43137,LOTTE CHOCO PIE 28G*12=336GM,BISCUITS/BAKERY,LOTTE,CAKES,,
43177,APPY JUICEY APPLES 125 MLCBD,COLD/FRUIT DRINKS,APPY,SOFT DRINKS,,
43217,SUNNY MILKY PHENYLE WHITE 1LT,CLEANING MATERIAL,SUNNY,PHENYLE,,
43231,R.K.JWARI ATTA 500 GM,GROCERY,R.K.BAZAR(TAX),ATTA R.K.,,
43232,R.K.BAJARI ATTA 500GM,GROCERY,R.K.BAZAR(TAX),ATTA R.K.,,
43247,COMFORT GREEN LIQ 210 ML,WASHING/DETERGENTS,COMFORT,LIQUID WASHING DETERGENT,,
43278,FORTUNE BESAN 1KG,GROCERY,FORTUNE,BREAKFAST,,
43279,FORTUNE BESAN 500 GM,GROCERY,FORTUNE,BREAKFAST,,
43312,INDIA GATE DUBAR BAS RICE 1KG,GROCERY,INDIA GATE,BASMATI BRANDED,,
43313,INDIA GATE SUPER BAS RICE 1KG,GROCERY,INDIA GATE,BASMATI BRANDED,,
43368,RAM BANDHU MANGO PICKLE1K ,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
43370,RAM BANDHU MANGO PICKLE 500G,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
43371,RAM BANDHU MIXED PICKLE 500GM,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
43372,RAM BANDHU MANGO PICKLE200G*,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
43373,RAM BANDHU MIXED PICKLE200G ,PAPAD/PICKLES/FRYMES,PICKLE,RAM BANDHU,,
43383,MESWAK ORAL CARE T PASTE100G,DENTAL CARE,DABUR,TOOTH PASTE,,
43384,COLGATE T PASTE 500GM*,DENTAL CARE,COLGATE,TOOTH PASTE,,
43415,CAD 5 STAR HOME TREATS 200G ,CHOCLATE/CONFECTIONRIES,CHOCLATES,CADBURY,,
43432,GLUCON-D ORANGE 450 G CBD,COLD/FRUIT DRINKS,GLUCON D_,BRAVERAGES,,
43453,CHINGS HUNGER SWT CORN VEG 10,FAST FOOD (RADY TO EAT),CHINGS,SOUP,,
43468,REAL FRUIT PWR MIX FRUIT 1L*,COLD/FRUIT DRINKS,REAL,FRUIT JUICE,,
43481,RIN ADVANCED BAR 140GM*,WASHING/DETERGENTS,RIN,WASHING SOAP,,
43488,WHISPER CHOICE ULTRA XL 20P*,SANITARY NAPKINS/DIAPERS,WHISPER,SANITARY NAPKINS,,
43543,GLADE TOUCH&FRE FLR PERFCT 12,CLEANING MATERIAL,GLADE,AIR/CAR/ROOM FRESHNER,,
43552,JIN X THANDA THANDA TALC150 ,TALCUM/DEO/PERFUME,JIN-X,TALC POWDER,,
43566,CADBURY DAIRY MILK SHOTS 18G,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
43567,MIRINDA ORANGE 2.25 LTR BTL,COLD/FRUIT DRINKS,MIRINDA,COLD DRINKS,,
43571,PARLE HAPPY-HAPP JAM-IN 150GM,BISCUITS/BAKERY,PARLE,BISCUITS,,
43581,ENO FRUIT SALT COLA FLAV 5GM,COLD/FRUIT DRINKS,ENO,BRAVERAGES,,
43607,EXO DISH BAR  500GM,CLEANING MATERIAL,EXO,DISH WASH BAR,,
43609,ARIEL MATIC TOP LOAD 2 KG REF,WASHING/DETERGENTS,ARIEL,WASHING POWDER/DETERGENT,,
43678,NESTLE MILKY BAR CHOCO 42 GM,CHOCLATE/CONFECTIONRIES,NESTLE,CHOCLATES,,
43679,TANG LEMON FLAVOUR 500GM,COLD/FRUIT DRINKS,TANG,SOFT DRINK CONCENTRATE,,
43706,OIL 15 LIT GEMINI DELUX JAR,OIL/GHEE/VANASPATI,GEMINI,SUNFLOWER OIL,,
43727,DOVE DAILY SHINE CONDI 175 ML,HAIR CARE,DOVE,CONDITIONER,,
43741,RK COW GHEE 500ML,OIL/GHEE/VANASPATI,GHEE,RK S EXCLUSIVE,,
43742,RK COW GHEE 200ML*,OIL/GHEE/VANASPATI,RK S EXCLUSIVE,GHEE,,
43743,RK COW GHEE 1 LTR*,OIL/GHEE/VANASPATI,RK S EXCLUSIVE,GHEE,,
43770,PEARS SOFT & FRESH SOAP125*3+,BATH SOAPS,PEARS,BATH SOAP,,
43838,CLOSE UP DE/AC RED HOT TP150+,DENTAL CARE,CLOSE -UP,TOOTH PASTE,,
43850,SCOTCH BRI SCRUB SPONGE 3M 2N,CLEANING MATERIAL,SCRUBBER,SCOTCH BRITE,,
43851,SCOT BRI ANT NEEM SRUB PAD 3N,CLEANING MATERIAL,SCOTCH BRITE,SCRUBBER,,
43878,LUX JAS & VIT E SOAP 100 GM+,BATH SOAPS,LUX,BATH SOAP,,
43885,LIFEBUOY H/W TTOTAL 80M PMP,BATH SOAPS,LIFEBUOY,HAND WASH,,
43891,"MEDIMIX 18-H AYU SOAP 6""75G ",BATH SOAPS,MEDIMIX,BATH SOAP,,
43897,RAJVER BIG BIT ROS BRD 175 GM,BISCUITS/BAKERY,RAJVEER,TOAST,,
43902,VIM DOU-POW CONCEN GEL 155 M+,CLEANING MATERIAL,VIM,LIQUID SOAP,,
43917,GLUCON-D NIMBU PANI 200G CBD,COLD/FRUIT DRINKS,GLUCON D_,BRAVERAGES,,
43927,LUX ROSE&VATA C+E SOAP 3*100G,BATH SOAPS,LUX,BATH SOAP,,
43928,LUX ROSE VITMIN  SOAP 3*150G*,BATH SOAPS,LUX,BATH SOAP,,
43929,LUX ROSE & VIT E SOAP 100 GM,BATH SOAPS,LUX,BATH SOAP,,
43930,LIPTON GREEN TEA LEM ZEST 25N,TEA/COFFEE,LIPTON,TEA,,
43931,KINDER JOY FOR GIRLS 20 G ,CHOCLATE/CONFECTIONRIES,KINDER JOY,CHOCLATES,,
43932,KINDER JOY FOR BOYS 20 GM ,CHOCLATE/CONFECTIONRIES,KINDER JOY,CHOCLATES,,
43944,ENO FRUIT SALT REGUL FLAV5GM,COLD/FRUIT DRINKS,ENO,BRAVERAGES,,
43945,ENO FRUIT SALT MOSAM FLAV 5GM,COLD/FRUIT DRINKS,ENO,BRAVERAGES,,
43946,ENO FRUIT SALT LEMON FLAV5GM,COLD/FRUIT DRINKS,ENO,BRAVERAGES,,
43948,ORAL-B KIDS 10+2 MED BRUSH,DENTAL CARE,ORAL-B,TOOTH BRUSH,,
43967,KELL CHOC MOON & STR 375G (P),BABY/HEALTH-FOOD/DRINKS,KELLOGG,CORNFLAKES,,
43990,SAPTASHAKTI TIL OIL 1LTR,OIL/GHEE/VANASPATI,PITAMBARI,LAMP OIL,,
43991,SAPTASHAKTI TIL OIL 500 ML,OIL/GHEE/VANASPATI,PITAMBARI,LAMP OIL,,
44004,BRITANNIA GOOD DAY 100 GM*,BISCUITS/BAKERY,BRITANNIA,BISCUITS,,
44058,CLEAN & CLEAR FOAMING F/W50M,COSMETICS,CLEAN & CLEAR,FACE WASH,,
